,headline,score,date,newsroom
37,rahul gandhi to address poll meeting in varanasi,0.0,2017-02-26,TimesOfIndia News
38,dimple yadav takes a dig at pm modi over his 'diwali-ramzan' remarks,0.0,2017-02-26,TimesOfIndia News
39,"congress-sp alliance questions pm, seeks clarification on lok sabha poll promises",0.0,2017-02-26,TimesOfIndia News
40,"up polls will end appeasement, casteism, dynastic rule: amit shah",0.0,2017-02-26,TimesOfIndia News
41,sp-congress tie-up an alliance of youngsters: akhilesh yadav,0.0,2017-02-26,TimesOfIndia News
42,"in wake of dispute, smriti irani skips gauriganj",-0.386303,2017-02-26,TimesOfIndia News
43,"kin eliminated, bjp backs last (wo)man standing",-0.513031,2017-02-26,TimesOfIndia News
44,up minister sacked after he joins bsp on ticket denial,0.0,2017-02-26,Zee news
45,"mulayam punctured 'cycle', shivpal broke chain: rajnath singh",0.0,2017-02-26,Zee news
46,''insensible'' akhilesh can't understand pm's ''mann ki baat'': amit shah,0.0,2017-02-26,Zee news
47,sp-congress alliance will change course of national politics: akhilesh yadav,0.0,2017-02-26,Zee news
48,samajwadi party-congress tie-up an alliance of youngsters: akhilesh yadav,0.0,2017-02-26,Zee news
49,"""i forgot to remove 'lotus' symbol while casting vote""  bjp's keshav prasad maurya on fir against him",0.0,2017-02-26,Zee news
50,"odisha zilla parishad polls 2017: bjp numbers up, but ruling bjd not worried",0.0,2017-02-27,NDTV News
51,"in this election in ayodhya, ram temple issue not even in whispers",-0.310308,2017-02-27,NDTV News
52,"up elections 2017: akhilesh yadav discrimination proven, alleges power minister piyush goyal",0.0,2017-02-27,NDTV News
53,uttar pradesh elections 2017 live: 57.4% voter turnout recorded till 5 pm,0.0,2017-02-27,NDTV News
54,up election 2017:  bsp tops the list of rich candidates in phase 5,0.0,2017-02-27,NDTV News
55,up election 2017: bsp tops the list of candidates with criminal cases in phase 5,0.0,2017-02-27,NDTV News
56,up elections 2017: why pm modi waiting for polls to waive farmers' loans? asks akhilesh yadav,0.0,2017-02-27,NDTV News
57,"up election 2017: will celebrate 'holi of victory' on 11 march, says modi",0.0,2017-02-27,FirstPost news
58,up election 2017: bsp supremo mayawati ridicules akhilesh and dimple; promises purvanchal if voted to power,0.0,2017-02-27,FirstPost news
59,"up election 2017: in faizabad, bjp foot soldiers working towards ram mandir, but does the youth care?",0.0,2017-02-27,FirstPost news
60,"up election 2017: ahead of phase 5, bjp makes final push with 'vijay utsav' celebration",0.432192,2017-02-27,FirstPost news
61,"rahul gandhi to pm narendra modi: target vijay mallya, not the poor of up",-0.57722,2017-02-27,TimesOfIndia News
62,'acche din' to come after march 11: amit shah,0.0,2017-02-27,TimesOfIndia News
63,"akhilesh yadav, rahul gandhi address rally in eastern up",0.0,2017-02-27,TimesOfIndia News
64,expelled sp mp jayaprada hails demonetisation policy of pm,0.0,2017-02-27,TimesOfIndia News
