,headline,score,date,newsroom
0,"narendra modi hits back at akhilesh, says donkeys are loyal, shoulder responsibilities",0.0,2017-02-24,Zee news
1,up elections 2017: state bjp chief keshav maurya booked for violating model code of conduct,0.0,2017-02-25,NDTV News
2,"up elections 2017: pm narendra modi, bjp chief amit shah dreaming of harming state, says bsp supremo mayawati",0.0,2017-02-25,NDTV News
3,"manipur election 2017: pm narendra modi says what congress couldn't do in 15 years in manipur, bjp will in 15 months",-0.424061,2017-02-25,NDTV News
4,uttar pradesh elections 2017: congress veteran sheila dikshit clarifies on 'immature' rahul gandhi remarks,0.0,2017-02-25,NDTV News
5,how to watch pm narendra modi's 'mann ki baat',0.0,2017-02-25,NDTV News
6,up election 2017: bjp leader kalraj mishra calls sp 'party of terrorists',-0.377169,2017-02-25,FirstPost news
7,up election 2017: litmus test awaits the gandhis in the congress bastion amethi,0.0,2017-02-25,FirstPost news
8,up election 2017: modi-shah model of organisation may turn the tables on akhilesh and mayawati,0.0,2017-02-25,FirstPost news
9,"up election 2017: amid 'abki baar, bjp sarkar' mood, race for second place is open to sp and bsp",0.0,2017-02-25,FirstPost news
10,ec directs up govt to cover 'samajwadi' word written on ambulances,-0.380524,2017-02-25,TimesOfIndia News
11,"hit by demonetisation, muslim weavers appreciate akhilesh",0.0,2017-02-25,TimesOfIndia News
12,pm modi copying clothes worn by others: up cm akhilesh,0.0,2017-02-25,TimesOfIndia News
13,"modi, shah 'dreaming of harming' uttar pradesh: mayawati",0.0,2017-02-25,TimesOfIndia News
14,rajnath singh accuses akhilesh yadav of shattering his father's dreams,0.0,2017-02-25,TimesOfIndia News
15,up bjp chief keshav maurya booked for violating poll code,0.0,2017-02-25,TimesOfIndia News
16,polls about changing the fate of uttar pradesh: amit shah,0.0,2017-02-25,TimesOfIndia News
17,bsp can enter understanding with bjp to stop sp: akhilesh,0.0,2017-02-25,TimesOfIndia News
18,rahul gandhi-akhilesh yadav roadshow gets postponed again,-0.499433,2017-02-25,TimesOfIndia News
19,bjp copied our election promises: akhilesh yadav,0.0,2017-02-25,TimesOfIndia News
20,' bjp's communal card will not yield results this time',0.0,2017-02-25,TimesOfIndia News
21,"why is rahul gandhi being imposed on up, asks amit shah",0.0,2017-02-25,TimesOfIndia News
22,supporters resent rajnath singh's downsizing in bjp campaign,-0.475146,2017-02-25,TimesOfIndia News
23,ec directs up govt to cover 'samajwadi' word written on ambulances,-0.380524,2017-02-25,Zee news
24,don't believe the dreams spun by modi-shah: mayawati,-0.39765,2017-02-25,Zee news
25,rajnath singh accuses akhilesh yadav of shattering his father mulayam singh's dreams,0.0,2017-02-25,Zee news
26,"bjp leader kalraj mishra calls samajwadi party, 'party of terrorists'",0.0,2017-02-25,Zee news
27,polls about changing fate of uttar pradesh: amit shah,0.0,2017-02-25,Zee news
28,bsp can enter into understanding with bjp to stop samajwadi party: akhilesh yadav,0.0,2017-02-25,Zee news
29,"up elections 2017: joint roadshow of rahul gandhi, akhilesh yadav in varanasi postponed",0.0,2017-02-26,NDTV News
30,"up elections 2017: first-time voters in ayodhya look forward. want jobs, development",-0.310955,2017-02-26,NDTV News
31,"up election 2017: akhilesh yadav takes on narendra modi at his own game, taps new media for public outreach",0.0,2017-02-26,FirstPost news
32,"up election 2017: sp-cong tie-up an alliance of youth leaders, says akhilesh yadav",0.0,2017-02-26,FirstPost news
33,spotlight on bahubalis and regional satraps in fifth phase,0.0,2017-02-26,TimesOfIndia News
34,akhilesh yadav takes on narendra modi at his own game,0.0,2017-02-26,TimesOfIndia News
35,why pm modi is waiting for the up poll outcome to waive farmers' loans: akhilesh yadav,-0.630303,2017-02-26,TimesOfIndia News
36,"mulayam singh yadav punctured 'cycle', shivpal broke chain: rajnath singh",0.0,2017-02-26,TimesOfIndia News
