,headline,score,date,newsroom
0,up elections 2017: the rally at which akhilesh yadav debuted 'donkeys of gujarat' jibe,0.0,2017-02-20,NDTV News
1,"up elections 2017: after pm's taunt, rape-accused minister gayatri prajapati not on stage with akhilesh yadav",0.0,2017-02-20,NDTV News
2,"up elections 2017: with 'gujarat's donkeys', akhilesh yadav's dig at pm narendra modi, amitabh bachchan",0.0,2017-02-20,NDTV News
3,"up election 2017: will transform bundelkhand like kutch, says pm narendra modi",0.0,2017-02-20,NDTV News
4,up elections 2017: congress to approach poll panel against pm narendra modi's remark,0.0,2017-02-20,NDTV News
5,up election 2017: tension mounts for akhilesh yadav as samajwadi rebels challenge party,0.0,2017-02-20,NDTV News
6,rape accused up minister gayatri prajapati to get akhilesh yadav's backing in amethi today,0.0,2017-02-20,NDTV News
7,"up elections 2017: 'our alliance wiped smile off pm modi's face,' says rahul gandhi",0.0,2017-02-20,NDTV News
8,"up election 2017: modi confident of bjp forming next govt, promises to curb land mafia in state",0.0,2017-02-20,FirstPost news
9,up election 2017: akhilesh yadav urges amitabh bachchan to not endorse 'gujarat's donkeys',0.0,2017-02-20,FirstPost news
10,"up election 2017:  narendra modi rattled by sp-congress alliance, claims rahul gandhi",0.0,2017-02-20,FirstPost news
11,"up election 2017: modi says sp, bsp to blame for bundelkhand's neglect, promises to transform it like kutch",-0.581432,2017-02-20,FirstPost news
12,"up election 2017: sp leader calls modi, amit shah 'terrorists' after pm's graveyard remarks",-0.3425,2017-02-20,FirstPost news
13,"up election 2017: mayawati hits back at narendra modi, calls him 'mr negative dalit man'",0.0,2017-02-20,FirstPost news
14,"up election 2017: modi was 'true to form', vitiated atmosphere ahead of polls, says congress",0.0,2017-02-20,FirstPost news
15,"up election 2017: narendra modi hits out at non-bjp parties, says they haven't developed bundelkhand",0.0,2017-02-20,FirstPost news
16,"up election 2017: modi confident of bjp forming next govt, promises to curb land mafia in state",0.0,2017-02-20,FirstPost news
17,up election 2017: akhilesh yadav urges amitabh bachchan to not endorse 'gujarat's donkeys',0.0,2017-02-20,FirstPost news
18,lalu prasad to campaign for sp-congress alliance in uttar pradesh,0.0,2017-02-20,TimesOfIndia News
19,anupriya patel lashes out at sp-congress alliance,0.0,2017-02-20,TimesOfIndia News
20,sc's no to plea against up government's 'samajwadi' pension scheme,-0.887899,2017-02-20,TimesOfIndia News
21,sitting bjp mla from varanasi south agrees to campaign,0.0,2017-02-20,TimesOfIndia News
22,pm's elder brother som modi to campaign for bjp candidates in varanasi,0.0,2017-02-20,TimesOfIndia News
23,"up voters have endorsed bjp, prakash javadekar says",0.0,2017-02-20,TimesOfIndia News
24,"sp leader calls modi, shah terrorists; frustrated, retorts bjp",-0.417194,2017-02-20,TimesOfIndia News
25,sp candidate withdraws nomination from varanasi cantt seat,0.0,2017-02-20,TimesOfIndia News
26,"mayawati hits back at pm modi, calls him 'mr negative dalit man'",0.0,2017-02-20,TimesOfIndia News
27,"pm modi vitiating atmosphere in up, ec must take action: congress",0.0,2017-02-20,TimesOfIndia News
28,"sp-congress tie-up has wiped the smile off modi's face, rahul gandhi says",0.0,2017-02-20,TimesOfIndia News
29,"mayawati hits back at pm modi, calls him 'mr negative dalit man'",0.0,2017-02-20,TimesOfIndia News
30,rape-accused gayatri prajapati skips akhilesh rally,0.0,2017-02-20,TimesOfIndia News
31,"ache din to come to uttar pradesh on march 11, amit shah says",-0.489139,2017-02-20,TimesOfIndia News
32,"sp, congress, bsp desperately trying to save their reputation: pm modi",-0.500549,2017-02-20,TimesOfIndia News
33,"will transform bundelkhand like kutch, pm modi says",0.0,2017-02-20,TimesOfIndia News
34,up polls: sonia gandhi not in rae bareli campaign schedule,0.0,2017-02-20,Zee news
35,sc`s no to plea against up govt's 'samajwadi' pension scheme,-0.883013,2017-02-20,Zee news
36,akhilesh yadav is disturbed: venkaiah naidu on gujarat tourism's ''gadha'' ad,0.0,2017-02-20,Zee news
37,bjp reaching up voters through 'personalised letters',0.0,2017-02-20,Zee news
38,congress backs out from approaching ec over pm modi's 'graveyard and cremation ground' remarks,-0.48063,2017-02-20,Zee news
39,pm narendra modi confident of bjp-apna dal forming govt in up,0.57527,2017-02-20,Zee news
40,"gonda: four injured, bjp campaign vehicles damaged in stone-pelting",-0.50361,2017-02-20,Zee news
41,"rape-accused samajwadi party leader gayatri prajapati breaks down during amethi rally, says court will do justice to him",0.0,2017-02-20,Zee news
42,"in response to modi's 'behenji sampatti party', mayawati says pm's name means 'negative dalit man' ",0.0,2017-02-20,Zee news
43,"akhilesh yadav mocks pm narendra modi, tells amitabh bachchan to stop promoting `donkeys of gujarat'",0.0,2017-02-20,Zee news
44,lalu prasad yadav to campaign for congress-samajwadi alliance,0.0,2017-02-20,Zee news
45,bsp is now behenji sampatti party: pm narendra modi in bundelkhand,0.0,2017-02-20,Zee news
46,"akhilesh yadav comes out in support of rape-accused minister gayatri prajapati, to campaign for him in amethi",0.0,2017-02-20,Zee news
47,"mulayam's wife sadhna denies rift in family, says no step-motherly treatment to akhilesh",-0.585027,2017-02-20,Zee news
48,"pm narendra modi's 'graveyard' remark sparks row, congress to file complaint with ec",0.0,2017-02-20,Zee news
49,"up polls: if there is electricity during ramzan, it must also be available during diwali, says pm modi",0.0,2017-02-20,Zee news
50,"up elections 2017: as amit shah campaigned in allahabad, akhilesh yadav, rahul gandhi were a street away",0.0,2017-02-21,NDTV News
51,"bmc election 2017: delay in voters' list release might impact poll result, says bjp",0.0,2017-02-21,NDTV News
52,manipur election 2017: friends are a liability for bjp,0.0,2017-02-21,NDTV News
53,"uttar pradesh election 2017:  rahul to address rallies in amethi, priyanka too may accompany",0.0,2017-02-21,FirstPost news
54,"up election 2017: demonetisation a diversionary tactic by centre, says mayawati",0.0,2017-02-21,FirstPost news
55,up election 2017: poll language stinks; blame it on the growing desperation among parties,-0.776143,2017-02-21,FirstPost news
56,up election 2017: owaisi slams modi's 'graveyard' remark by reminding him of demonetisation-related deaths,0.0,2017-02-21,FirstPost news
57,"up election 2017: narendra modi will lose aura after bjp's defeat in polls, says lalu prasad yadav",-0.302517,2017-02-21,FirstPost news
58,mathura-based hindu seer terms pm modi's statements communal,0.0,2017-02-21,TimesOfIndia News
59,"flouting supreme court's verdict, mayawati seeks muslim votes",0.0,2017-02-21,TimesOfIndia News
60,samajwadi party turmoil a programmed drama: amar singh,0.0,2017-02-21,TimesOfIndia News
61,"modi will lose aura after bjp defeat in up, lalu prasad says",-0.413816,2017-02-21,TimesOfIndia News
62,demonetisation a diversionary tactic by centre: mayawati,0.0,2017-02-21,TimesOfIndia News
