,headline,score,date,newsroom
63,sp expels women's wing chief for 'anti-party' activities,0.0,2017-02-21,TimesOfIndia News
64,"'pained' by projects 'snatched' from raebareli, amethi, rahul gandhi says",-0.815618,2017-02-21,TimesOfIndia News
65,"watch: stage collapses at rahul, akhileshs rally in up's allahabad",-0.526451,2017-02-21,TimesOfIndia News
66,bjp will liberate up from the likes of mukhtar ansari: amit shah,0.0,2017-02-21,TimesOfIndia News
67,"rahul to address rallies in amethi, priyanka too may accompany",0.0,2017-02-21,TimesOfIndia News
68,'power' tussle: centre cites ngo data to counter akhilesh,0.0,2017-02-21,TimesOfIndia News
69,"modi giving casteist, communal tinge to campaign, mayawati says",0.0,2017-02-21,TimesOfIndia News
70,"bjp will win uttar pradesh, m venkaiah naidu says",0.0,2017-02-21,TimesOfIndia News
71,"gujarat bjp fumes at akhilesh yadav's 'insult', says donkeys are loyal unlike him",0.0,2017-02-21,TimesOfIndia News
72,absence of credibility haunting modi: ashok gehlot,-0.506991,2017-02-21,TimesOfIndia News
73,"pm undermined cm's work with hate speech, says dimple yadav",-0.920078,2017-02-21,TimesOfIndia News
74,shyam deo roy chaudhary 'dada' back in team bjp,0.0,2017-02-21,TimesOfIndia News
75,owaisi hits out at pm modi over ramzan-diwali remarks,0.0,2017-02-21,TimesOfIndia News
76,pm modi trying to create mindset inconsistent with values of constitution: kapil sibal,0.0,2017-02-21,TimesOfIndia News
