,headline,score,date,newsroom
0,expelled sp mp jayaprada hails demonetisation policy of pm,0.0,2017-02-27,TimesOfIndia News
1,mayawati's 'elephants' feed on currency notes: rajnath singh,0.0,2017-02-27,TimesOfIndia News
2,akhilesh yadav to pm: hurry up on bullet train promise,0.0,2017-02-27,TimesOfIndia News
3,bjp moves election commission against sp ad showing running metro train,0.0,2017-02-27,TimesOfIndia News
4,would've been better had bjp given tickets to muslims in up: mukhtar abbas naqvi,0.0,2017-02-27,TimesOfIndia News
5,amit shah slams mayawati for bsp posters with mukhtar ansari's photos,0.0,2017-02-27,TimesOfIndia News
6,bjp capable of winning majority on its own: pm modi,0.0,2017-02-27,TimesOfIndia News
7,"'development useless without ram mandir,' says bjp's vinay katiyar",-0.629891,2017-02-27,TimesOfIndia News
8,"launched with fanfare, office of 'mulayam ke log' closed",0.0,2017-02-27,TimesOfIndia News
9,dimple yadav seeks votes for samajwadi party as 'muhdikhai',0.0,2017-02-27,TimesOfIndia News
10,rebel samajwadi party minister finally dismissed,0.453901,2017-02-27,TimesOfIndia News
11,samajwadi party has only strengthened bjp in up: mayawati,0.0,2017-02-27,TimesOfIndia News
12,sp government would be out of power by 1pm on march 11: amit shah,0.0,2017-02-27,TimesOfIndia News
13,"in gorakhpur, mayawati raises demand for purvanchal",0.0,2017-02-27,TimesOfIndia News
14,ayodhya mahants call bjp's 'bluff' of ram mandir,0.0,2017-02-27,TimesOfIndia News
15,"akhilesh yadav calls pm modi a confused man, invites him for debate",0.0,2017-02-27,TimesOfIndia News
16,"sp, bsp want a hung house in up so they can have bargaining power, says pm modi",0.0,2017-02-27,Zee news
17,"up assembly elections: do whatever possible to defeat bjp, pm narendra modi dares sp, congress and bsp",0.0,2017-02-27,Zee news
18,bjp will form government with full majority in up: pm narendra modi,0.0,2017-02-27,Zee news
19,"development, education useless if ram temple is not constructed: vinay katiyar",-0.344622,2017-02-27,Zee news
20,"people are with the 'praja-pati', not with queens of amethi: gayatri prajapati sp leader",0.0,2017-02-27,Zee news
21,"up elections 2017: graveyards should not be constructed at all, says bjp mp sakshi maharaj",0.0,2017-02-28,NDTV News
22,"priyanka gandhi won't be campaigning in up elections, top congress strategist tells ndtv",0.0,2017-02-28,NDTV News
23,manipur elections 2017: bomb recovered ahead of rahul gandhi's visit to imphal,0.0,2017-02-28,NDTV News
24,"'he's captain modi': irrespective of uttar pradesh election result, prime minister narendra modi is still most popular leader",0.0,2017-02-28,NDTV News
25,a forgotten village in rahul gandhi's amethi boycotts election in anger,-0.57749,2017-02-28,NDTV News
26,"up elections 2017: 'donkey' issue refuses to die down, pm modi targets chief minister akhilesh yadav again",0.0,2017-02-28,NDTV News
27,"uttarakhand elections 2017: congress demands fir against pm modi, bjp leaders for model code violation",-0.389529,2017-02-28,NDTV News
28,up election 2017: piyush goyal slams sp over religious discrimination in power supply,0.0,2017-02-28,FirstPost news
29,"up election 2017: akhilesh yadav has undone mulayam's work with congress alliance, says rajnath singh",0.0,2017-02-28,FirstPost news
30,up election 2017: bjp seeks ec probe into 'deletion' of voters' names,0.0,2017-02-28,FirstPost news
31,rahul gandhi-akhilesh yadav road show in varanasi on march 4,0.0,2017-02-28,TimesOfIndia News
32,"man who won gave cycle symbol to mulayam singh yadav, parts ways with sp",0.0,2017-02-28,TimesOfIndia News
33,priyanka wont campaign for sp-congress alliance in last two phases of up polls,-0.621211,2017-02-28,TimesOfIndia News
34,akhilesh has undone mulayam's work with congress alliance: rajnath,-0.832244,2017-02-28,TimesOfIndia News
35,sp discriminating in power supply on religious grounds: piyush goyal,0.0,2017-02-28,TimesOfIndia News
36,"sp, congress, bsp like 'snakes', 'social cancer': up bjp chief",-0.719133,2017-02-28,TimesOfIndia News
37,bjp moves ec against 'unauthorised deletion' of voters' names,-0.423481,2017-02-28,TimesOfIndia News
38,nda leaders now talking of fractured verdict in up: akhilesh yadav,-0.347258,2017-02-28,TimesOfIndia News
39,rahul gandhi's comments on pm modi are 'cheap': venkaiah naidu,0.0,2017-02-28,TimesOfIndia News
40,akhilesh-rahul road show in varanasi on march 4,0.0,2017-02-28,TimesOfIndia News
41,"pm spreads hatred when he is scared, says akhilesh yadav",-0.752457,2017-02-28,TimesOfIndia News
42,"sp, bsp want hung assembly to have bargain power: pm",0.0,2017-02-28,TimesOfIndia News
43,mayawati bets on 'generous' don's family to net seat haul for bsp,0.0,2017-02-28,TimesOfIndia News
44,"behind the bjp's up election machine, meet the party's mini-amit shah",0.0,2017-03-02,NDTV News
45,"up election 2017: from 300 rallies in 2012 to two this election, why mulayam singh yadav mostly stayed home",0.0,2017-03-02,NDTV News
46,"up elections 2017: pm narendra modi's hope of getting bonus votes imaginary, says mayawati",0.0,2017-03-02,NDTV News
47,harvard economists face pm modi's censure after gdp surprise,-0.539195,2017-03-02,NDTV News
48,up elections 2017: bjp will repeat its 2014 lok sabha poll feat: arun jaitley,0.0,2017-03-02,NDTV News
49,"up elections 2017: bjp will repeat 2014 lok sabha feat in the state, says arun jaitley",0.0,2017-03-02,NDTV News
50,up election 2017: aimim chief asaduddin owaisi confident of bjp and sp loss,0.0,2017-03-02,FirstPost news
51,"up election 2017: narendra modi's hopes of getting bonus votes in up imaginary, says mayawati",0.0,2017-03-02,FirstPost news
52,"narendra modi, amit shah on a campaign overdrive before polling in up, manipur",0.0,2017-03-02,FirstPost news
53,up election 2017: yogi adityanath gives impetus to bjp's hindutva agenda in 'poorvanchal',0.0,2017-03-02,FirstPost news
54,up election 2017: bjp demands deployment of women police officials to avoid bogus voting,-0.61728,2017-03-02,FirstPost news
55,"up election 2017: mulayam singh yadav steps out for just two rallies, down from 300 in 2012",0.0,2017-03-02,FirstPost news
56,deploy women police to examine burqa-clad voters: bjp to ec,-0.413028,2017-03-02,TimesOfIndia News
57,yogi adityanath drives bjp hindutva campaign in eastern up,0.0,2017-03-02,TimesOfIndia News
58,pm modi trying to spread hatred: rahul gandhi,-0.608853,2017-03-02,TimesOfIndia News
