,Unnamed: 0,headline,score,date,newsroom
24,24,"in lust for power, akhilesh has not even spared his father: rajnath",-0.49818,2017-02-14,TimesOfIndia News
25,25,would rather be in opposition than support bjp: mayawati,0.0,2017-02-14,TimesOfIndia News
26,26,"bsp, sp trade charges only at poll time: bjp",-0.409193,2017-02-14,TimesOfIndia News
27,27,viral video shows madhya pradesh bjp leader campaigning for bsp in up,0.0,2017-02-14,TimesOfIndia News
28,28,"sp, congress withdraw five candidates each for alliance",0.0,2017-02-14,TimesOfIndia News
29,29,rajnath singh castigates akhilesh yadav,0.0,2017-02-14,TimesOfIndia News
30,30,bjp netas booked for poll code violation,-0.389971,2017-02-14,TimesOfIndia News
31,31,opposition leaders' bp shot up after phase i of polls: akhilesh,0.0,2017-02-14,TimesOfIndia News
32,32,amit shah set to address election rally in amethi,0.0,2017-02-14,TimesOfIndia News
33,33,bjp's ally  apna dal (s) too faces workers' wrath in kashi,-0.56121,2017-02-14,TimesOfIndia News
34,34,bsp will never form government with bjp's help: mayawati,-0.304649,2017-02-14,TimesOfIndia News
35,35,"shivraj singh chouhan, akhilesh yadav spar over crime situation in up",0.0,2017-02-14,TimesOfIndia News
36,36,bjp candidate booked for attacking samajwadi party rival bs gangwar,0.0,2017-02-14,Zee news
37,37,"modi challenges akhilesh on 'kaam bolta hai', says let's take a ride on lucknow metro",0.0,2017-02-14,Zee news
38,38,"woman, who accused sp mla arun verma of rape, found dead; police suspect strangulation",-0.805418,2017-02-14,Zee news
39,39,"up elections 2017: bsp coming to power with full majority, says mayawati",0.0,2017-02-15,NDTV News
40,40,"up elections 2017: bjp gained 'decisive lead' in first phase, says kalraj mishra",0.0,2017-02-15,NDTV News
41,41,"up election 2017: bsp may join hands with bjp, says akhilesh yadav",0.0,2017-02-15,NDTV News
42,42,"police case against rahul gandhi, harish rawat for model code violation",0.0,2017-02-15,NDTV News
43,43,"up elections 2017: battleground saharanpur is big test for congress, bsp",-0.315032,2017-02-15,NDTV News
44,44,"up election 2017: akhilesh slams mayawati, modi, says only sp can ensure development",0.0,2017-02-15,FirstPost news
45,45,"up election 2017: akhilesh does not know how 'cunning' congress party is, says modi at kannauj rally",0.0,2017-02-15,FirstPost news
46,46,"up election 2017: allahabad hc issues notices to mayawati, kin over manipulation of land records",0.0,2017-02-15,FirstPost news
47,47,up election 2017: allahabad hc seeks ec's response on steps taken to curb 'inflammatory atmosphere',-0.833546,2017-02-15,FirstPost news
48,48,sp taking help of crutches which are weak: rajnath singh,0.0,2017-02-15,TimesOfIndia News
49,49,3rd phase polling a matter of prestige for akhilesh yadav,0.0,2017-02-15,TimesOfIndia News
50,50,"mulayam defends ayodhya action again, says couldn't have allowed minority's interest to suffer",-0.769143,2017-02-15,TimesOfIndia News
51,51,bjp indulging in politics of hatred: rahul gandhi,-0.341337,2017-02-15,TimesOfIndia News
52,52,"why no arrest yet of sp mla accused of rape, murder: bjp",-0.854052,2017-02-15,TimesOfIndia News
53,53,"congress, bjp supporters clash during canvassing",-0.353325,2017-02-15,TimesOfIndia News
54,54,samajwadi party's dimple yadav campaigns for sister-in-law aparna,0.0,2017-02-15,TimesOfIndia News
55,55,"mayawati happy with phase ii poll trend, says bsp to get majority",0.0,2017-02-15,TimesOfIndia News
56,56,bjp gained 'decisive lead' in first phase of up polls: kalraj mishra,0.0,2017-02-15,TimesOfIndia News
57,57,"mulayam singh yadav under house arrest, claims lok dal chief",0.0,2017-02-15,TimesOfIndia News
58,58,"akhilesh joined hands with congress that tried to kill mulayam in 1984, alleges pm modi",-0.405504,2017-02-15,TimesOfIndia News
59,59,"don't trust bsp, it may join hands with bjp after polls: up cm akhilesh yadav",-0.310161,2017-02-15,TimesOfIndia News
60,60,samajwadi party hopes to repeat 2012 performance in up polls phase 2,0.0,2017-02-15,TimesOfIndia News
61,61,"sp-congress alliance will get absolute majority, says shastri",0.0,2017-02-15,TimesOfIndia News
62,62,hectic election activities in bjp camp,-0.472482,2017-02-15,TimesOfIndia News
63,63,"'dad used to fly planes, rahul pushing punctured cycle'",-0.448004,2017-02-15,TimesOfIndia News
64,64,"love him or hate him, bjp can't ignore adityanath",0.0,2017-02-15,TimesOfIndia News
65,65,"sp, cong withdraw 10 overlapping candidates",0.0,2017-02-15,TimesOfIndia News
66,66,"bsp & sp muslim outreach on test, bjp on tough turf",0.0,2017-02-15,TimesOfIndia News
67,67,up waiting for development: uma,0.0,2017-02-15,TimesOfIndia News
68,68,"sp, bsp vie for muslims votes in phase ii",0.0,2017-02-15,TimesOfIndia News
69,69,mini punjab of east up aspires for new beginnings,0.0,2017-02-15,TimesOfIndia News
70,70,"mayawati happy with up's phase two polling trend, says bsp to get majority",0.0,2017-02-15,Zee news
71,71,pm narendra modi reminds akhilesh yadav of assassination attempt on mulayam by congress in 1984,0.0,2017-02-15,Zee news
72,72,bjp gained 'decisive lead' in first phase of up polls: kalraj mishra,0.0,2017-02-15,Zee news
73,73,akhilesh yadav most talked about candidate on facebook,0.0,2017-02-15,Zee news
74,74,pil on manipulation of land records: allahabad hc issues notices to mayawati,0.0,2017-02-15,Zee news
75,75,"pm narendra modi urges up, uttarakhand voters to exercise their franchise",0.0,2017-02-15,Zee news
76,76,"up elections 2017: mulayam singh yadav's prestige at stake for choti bahu aparna, brother shivpal",0.0,2017-02-16,NDTV News
77,77,up elections 2017: congress rejects pm narendra modi's charge of murder bid on mulayam singh yadav,0.0,2017-02-16,NDTV News
78,78,"up elections 2017: end dynastic, caste-based politics, says amit shah",0.0,2017-02-16,NDTV News
79,79,up elections 2017: pm modi reminds akhilesh yadav of 1984 attack on mulayam singh yadav,0.0,2017-02-16,NDTV News
80,80,"up elections 2017: the experience of a pm narendra modi rally for a woman, a student, senior citizens",0.0,2017-02-16,NDTV News
81,81,"up elections 2017: pm narendra modi slams samajwadi party on home turf, makes fun of alliance with congress",0.6584,2017-02-16,NDTV News
82,82,"up election 2017: minister vijay mishra crosses over and joins bsp, calls sp 'anti-brahmin'",0.0,2017-02-16,FirstPost news
83,83,"uttar pradesh election: mulayam's prestige at stake for daughter-in-law, brother",0.0,2017-02-16,FirstPost news
84,84,"uttar pradesh election: this poll is to end dynastic, caste-based politics, says amit shah",0.0,2017-02-16,FirstPost news
85,85,up election 2017: congress rejects narendra modi's allegation of murder bid on mulayam singh yadav,0.0,2017-02-16,FirstPost news
86,86,up election 2017: narendra modi's elephantine memory shines light on mulayam's past,0.0,2017-02-16,FirstPost news
87,87,"up election 2017 highlights: ahead of third phase, priyanka to campaign in rae-bareily with rahul",0.0,2017-02-16,FirstPost news
88,88,"up election 2017: narendra modi, akhilesh yadav two sides of the same coin, says owaisi",0.0,2017-02-16,FirstPost news
89,89,"pm modi referring to 1984 since he has accepted defeat, says akhilesh yadav",0.0,2017-02-16,TimesOfIndia News
90,90,won't tolerate conspiracy against netaji and party: akhilesh yadav,-0.623706,2017-02-16,TimesOfIndia News
91,91,"huge voter turnouts in up mean people have rejected sp, ravi shankar prasad says",0.0,2017-02-16,TimesOfIndia News
92,92,"up minister vijay kumar mishra joins bsp, terms sp as 'anti-brahmin'",0.0,2017-02-16,TimesOfIndia News
93,93,"pm draws parallel with lord krishna, says he is adopted son of uttar pradesh",0.0,2017-02-16,TimesOfIndia News
94,94,"this up poll is to end dynastic, caste-based politics, amit shah says",0.0,2017-02-16,TimesOfIndia News
95,95,"after ambika chaudhary and narad rai, another sp mla joins bsp",0.0,2017-02-16,TimesOfIndia News
96,96,congress rejects pm modi's charge of murder bid on mulayam,-0.451687,2017-02-16,TimesOfIndia News
